Company / Tool,Appears in (Source → Category),Categories,Date,One-liner,Place
Playwright,a16z → Browser Control Layers,Libraries & protocols,,Modern automation library to control browsers (DOM-based).,
Puppeteer,a16z → Browser Control Layers,Libraries & protocols,,Headless Chrome/Chromium control library.,
Lightpanda,a16z → Browsers,Supporting infra,,Browser/engine listed as an option in the stack.,
Anchor Browser,a16z → Execution Environments (Browser Infra),Browser-as-a-service infra,,Hosted browser infrastructure provider.,
Kernel,a16z → Execution Environments (Browser Infra),Browser-as-a-service infra,,Provider listed for hosted browser-infra.,
S1,a16z → Execution Environments (Browser Infra),Browser-as-a-service infra,,Provider listed for hosted browser-infra.,
SCRAPYBARA,a16z → Execution Environments (Desktop Infra),More specialized frameworks,,Desktop automation/infra for GUI control.,
Yutori,Market Map → Consumer,General consumer agentic browsing,,Consumer agent that monitors and acts on web tasks.,
Manus,Market Map → Consumer; a16z → Full-stack applications,General consumer agentic browsing,,Full-stack agent that executes multi-step tasks for users.,
Google Gemini 2.5 / Chrome,,"AI browsers with automations, Computer use foundation models, General consumer agentic browsing",,,
Microsoft Edge Copilot,,AI browsers with automations,,,
Kura AI,,Enterprise agentic automations,,,
Firecrawl,,Crawlers/scrapers/APIs,,,
Trigger.dev,,General go-to frameworks,,,
Apify,,Crawlers/scrapers/APIs,,,
Bright Data / Browser.ai,,"Browser-as-a-service infra, Crawlers/scrapers/APIs",,,
Kaizen,,Crawlers/scrapers/APIs,,,
Halluminate,,Supporting infra,,,
Tavily,,Crawlers/scrapers/APIs,,,
Exa.ai,,Crawlers/scrapers/APIs,,,
Browserless,,Browser-as-a-service infra,,,
http://Zyte.com / Scrapy,,"Crawlers/scrapers/APIs, Libraries & protocols, More specialized frameworks",,,
